"TIPLOC"	"mapped TIPLOC"	"Description"	"note"
"SOTDWGB"	"SOTDWD"	"SOUTHAMPTON W DOCKS (GBRF)"	
"STHBGBR"	"STHBFLT"	"TEES DOCK GBRF"	
"STPXCYG"	"STPXTMC"	"CHURCHYARD CASTLE CEMENT G"	
"STRBSDG"	"STRBJGL"	"STOURBRIDGE SIDINGS"	
"STWTFHH"	"STWTLAM"	"STEWARTS LANE TARMAC FHH"	
"SWANBGB"	"SWANSBS"	"SWANSEA BURROWS SS GBRF"	
"TEESYDG"	"TEESY"	"TEES YARD DN STAGING GBRF"	
"TLBYRCG"	"TLBYRCT"	"TILBURY R.C.T. GBRF"	
"TLBYTCG"	"TLBYTCS"	"TILBURY CONTAINER SRVS GB"	
"TOTTYFL"	"TOTTYD"	"TOTTON YARD (FL)"	
"TROSTGB"	"TROSTRW"	"TROSTRE WORKS (GBRF)"	
"UDNGCLR"	"UDNGFHH"	"VIEWPARK COLAS RAIL"	
"WHATGBF"	"WHATLYQ"	"WHATLEY QUARRY GBRF"	
"WHRDGBF"	"WHRDWRD"	"LEEDS WHITEHALL RD GBRF"	
"WHRDGF"	"WHRDWRD"	"WHITEHALL RD GF"	
"WLSDDCR"	"WLSDRMT"	"WILLESDEN DC RAIL SIDINGS"	
"WLSDETG"	"WLSDEUT"	"WILLESDEN EUROTERMNAL GBRF"	
"WLSDOTM"	"WLSDHLS"	"WILLESDEN RAILNET OTM SDGS"	
"WRMNGBF"	"WRMNSTR"	"WARMINSTER MOD GBRF"	
"WSTBTCR"	"WSTBLAF"	"WESTBURY TARMAC COLAS RAIL"	
"WSTLGBR"	"WSTLGHM"	"WESTERLEIGH PUMA GBRF"	
"WTHRGBR"	"WTHRFHH"	"WEST THURROCK SIDINGS GBRF"	
